,title
396,""" 물산업 육성 방안은?"""
397, 교육청장애학생 대학생활 체험 프로그램 운영
398,"홍준표 ""침체주범은 기득권 카르텔…그걸 깨는 데서  영광 재현 작"""
399,"""맑아진 신천에서 어린이 수영대회를""… 고품격 수변공원화 사업 공개"
400,"""맑아진 신천에서 어린이 수영대회를""… 고품격 수변공원화 사업 공개"
401,서울· 등 7곳 학교 수은 폐기 ‘0’
402,행복진흥사회서비스원장에 정순천 전 의원 내정
403, 상수도사업본부 저수율 회복에 '수계 정상화'
404,코레일 경북본부 ‘ESG경영 탄소중립 합동 캠페인’
405,의회  공공기관장 후보자 인사 청문회 개최
406,[의회] 여성·청년 위한 조례 잇따라 발의
407,한국가스공사 페가수스 와 연고지 협약
408,제86회 전국도교육감협의회 서 열려 'IB교육 관심 확산'
409, 2132명 확진 사망 2명
410,은행권 이상 외화송금 72.2억 달러…은행 1천만 달러
411,가스공사 와 연고지 협약 체결
412, 행복페이 올해 예산 조기 소진
413,제19회 국제오페라축제 개막…가을에 즐기는 오페라 성찬
414, 新川 고품격 수변공원 탈바꿈
415,해묵은 현안…의회 '3급 직위' 신설 건의
416, 치안 안심 홈세트 지원으로 ‘안전·촘촘’
417,"""티웨이항공 외국인 고객 ' 케이팝 콘서트' 보러 오세요"""
418,침체된  골목상권 홍보 콘텐츠 공모
419,전국도교육감협의회 서 개최
420,침체된  골목상권 홍보 콘텐츠 공모
421,전국도교육감협의회 서 개최
422, 서문장 찾은 안철수
423, 수성못 인근 주상복합 건설 공방 수성구청 최종 승소
424,·경북 찬 공기 유입…급격한 기온변화
425, 남구 치매극복 건강한마당 행사 개최
426, 군부대 통합이전 가화…홍준표 “올해 안에 국방부와 양해각서 체결 목...
427,'연고지 이전 1년 만에' 가스공사 와 연고지 협약
428,민주당  북구갑 지역위 정책간담회 개최
429,DGB은행 즐겨 쓰는 5개 영역 할인 'DGB i 카드' 출
430, 남구 치매극복 건강한마당 행사 개최
431, 군부대 통합이전 가화…홍준표 “올해 안에 국방부와 양해각서 체결 목...
432,'연고지 이전 1년 만에' 가스공사 와 연고지 협약
433,민주당  북구갑 지역위 정책간담회 개최
434,DGB은행 즐겨 쓰는 5개 영역 할인 'DGB i 카드' 출
435,문화예술회관 국립발레단 백조의 호수 개최
436,[르포] “고개만 돌리면 보이는 크레인”… 도 개조 진행되는  가보니
437,TBC) IB교육..전국 교육감 '이목집중'
438,경북 군위군 편입 법안 상정 불발… 속 타는 ·군위
439, 슈퍼카서 튜닝ㆍ캠핑카까지…“다 모였네”
440,서 음주운전 차량 영업중 음식점 돌진…7명 부상
441,TBC) IB교육..전국 교육감 '이목집중'
442, 중구  스트리트 모터 페스티벌 24~25일 개최
443, 제86회 전국도교육감협의회 총회 개최
444,비수도권 최대 규모…국제식품산업전 22~25일 개최
445,국힘 차기 당권주자 유승민·김기현·윤상현 서 잇단 '강연정치'
446,'제19회 국제오페라축제' 개막 D -1
447, 생활체육 동호인 화합의 장 연다
448,이정선 광주교육감 남도 의병 순국현장 감옥 참배
449,서 2612명 신규 확진…전주 대비 24.6% 감소
450,'제19회 국제오페라축제' 23일 개막
451,이정선 광주교육감 남도 의병 순국현장 감옥 참배
452,서 2612명 신규 확진…전주 대비 24.6% 감소
453,의회 행정사무감사 민제보상황실 운영
454, 행복진흥원장에 정순천 씨 내정
455,가스공사 농구단 '팀' 확정…연고지 협약 체결
456,“ 오페라로 물들다”…국제오페라축제 리허설 [포토뉴스]
457, 찾은 안철수 의원
458,행복진흥원 원장에 정순천 전 의원 내정
459,의회 민제보 경청… 민에 희망‧용기 드리겠다
460, 찾은 안철수 의원
461,행복진흥원 원장에 정순천 전 의원 내정
462,의회 민제보 경청… 민에 희망‧용기 드리겠다
463,[소식] 영남이공대 메타버스애니메이션과 신설
464,보건대-경남도립거창대 대학원격교육지원 ‘맞손’
465,[동정] 홍준표 장 고산·매곡 정수사업소 잇따라 점검
466,"""우리가 호국의 도""…경북 지자체들  군부대 유치전"
467,일교차 큰 가을 날씨 ·포항 낮 27도
468,안철수 류규하  중구청장과 악수
469, 이슬람사원 건축 공방 대법은 건축주 손 들어줬다
470, 이슬람사원 건축 공방 대법은 건축주 손 들어줬다
471, '세이프 홈' 지원 대상 늘려
472,전국 도 교육감협의회 22일 에서 개최
473,·경북 코로나 19 신규 확진 뚜렷한 감소세
474,경북 섬유 수출액 작년보다 늘었다
475,' 10味' 알릴 세미 트로트풍 노래 '의 맛' 나왔다
476,·경북 독감 백신 무료 접종…어린이부터 작
